,addresses
412,"160 WEST 12,MANHATTAN,NY"
413,"350 WEST 14 STREET,MANHATTAN,NY"
414,"309 AVENUE OF THE AMER,MANHATTAN,NY"
415,"307 AVENUE OF THE AMER,MANHATTAN,NY"
416,"307 WEST 136 STREET,MANHATTAN,NY"
417,"314 WEST 138 STREET,MANHATTAN,NY"
418,"30 EAST 130 STREET,MANHATTAN,NY"
419,"252 WEST 132 STREET,MANHATTAN,NY"
420,"252 WEST 132 STREET,MANHATTAN,NY"
421,"213 WEST 131 STREET,MANHATTAN,NY"
422,"264 WEST 136 STREET,MANHATTAN,NY"
423,"237 WEST 136 STREET,MANHATTAN,NY"
424,"357 WEST 123 STREET,MANHATTAN,NY"
425,"268 WEST 139 STREET,MANHATTAN,NY"
426,"320 WEST 138 STREET,MANHATTAN,NY"
427,"318 WEST 140 STREET,MANHATTAN,NY"
428,"46 WEST 126 STREET,MANHATTAN,NY"
429,"62 EAST 127 STREET,MANHATTAN,NY"
430,"229 WEST 112 STREET,MANHATTAN,NY"
431,"175 WEST 126 ST,MANHATTAN,NY"
432,"173 WEST 126 STREET,MANHATTAN,NY"
433,"153 WEST 131 STREET,MANHATTAN,NY"
434,"194 WEST 134 STREET,MANHATTAN,NY"
435,"2068 FIFTH AVENUE,MANHATTAN,NY"
436,"254 WEST 139 STREET,MANHATTAN,NY"
437,"2108 FIFTH AVENUE,MANHATTAN,NY"
438,"3 EAST 124 STREET,MANHATTAN,NY"
439,"14 EAST 126 STREET,MANHATTAN,NY"
440,"18 EAST 129 STREET,MANHATTAN,NY"
441,"56 EAST 130 STREET,MANHATTAN,NY"
442,"53 EAST 130 STREET,MANHATTAN,NY"
443,"157 EAST 118 STREET,MANHATTAN,NY"
444,"154 EAST 124 STREET,MANHATTAN,NY"
445,"119 WEST 111 STREET,MANHATTAN,NY"
446,"226 WEST 112 STREET,MANHATTAN,NY"
447,"102 WEST 118 STREET,MANHATTAN,NY"
448,"2041 ADAM C POWELL BLVD,MANHATTAN,NY"
449,"107 WEST 122 STREET,MANHATTAN,NY"
450,"2073 ADAM C POWELL BLVD,MANHATTAN,NY"
451,"130 W 127 ST,MANHATTAN,NY"
452,"126 WEST 130TH,MANHATTAN,NY"
453,"242 WEST 132 STREET,MANHATTAN,NY"
454,"245 WEST 134 STREET,MANHATTAN,NY"
455,"215 WEST 134 STREET,MANHATTAN,NY"
456,"266 WEST 136 STREET,MANHATTAN,NY"
457,"239 W 136,MANHATTAN,NY"
458,"250 WEST 137 STREET,MANHATTAN,NY"
459,"290 WEST 137TH,MANHATTAN,NY"
460,"358 WEST 123 STREET,MANHATTAN,NY"
461,"311 WEST 126 STREET,MANHATTAN,NY"
462,"221 WEST 139 STREET,MANHATTAN,NY"
463,"265 WEST 146 STREET,MANHATTAN,NY"
464,"220 WEST 149 STREET,MANHATTAN,NY"
465,"412 WEST 145 STREET,MANHATTAN,NY"
466,"350 WEST 145 STREET,MANHATTAN,NY"
467,"45 WEST 132 STREET,MANHATTAN,NY"
468,"25 WEST 132 STREET,MANHATTAN,NY"
469,"10 WEST 135 STREET,MANHATTAN,NY"
470,"40 WEST 135 STREET,MANHATTAN,NY"
471,"45 WEST 139 STREET,MANHATTAN,NY"
472,"2300 5 AVENUE,MANHATTAN,NY"
473,"60 WEST 142 STREET,MANHATTAN,NY"
474,"351 WEST 125 STREET,MANHATTAN,NY"
475,"1947 SEVENTH AVENUE,MANHATTAN,NY"
476,"152 WEST 131 STREET,MANHATTAN,NY"
477,"35 MOUNT MORRIS PARK WE,MANHATTAN,NY"
478,"2002 FIFTH AVENUE,MANHATTAN,NY"
479,"2002 FIFTH AVENUE,MANHATTAN,NY"
480,"1867-69 7TH AVENUE,MANHATTAN,NY"
481,"92 SAINT NICHOLAS AVENU,MANHATTAN,NY"
482,"1878 7 AVENUE,MANHATTAN,NY"
483,"353 WEST 117 STREET,MANHATTAN,NY"
484,"345 W 145 STREET,MANHATTAN,NY"
485,"345 W 145 ST,MANHATTAN,NY"
486,"345 WEST 145 STREET,MANHATTAN,NY"
487,"9 WEST 131 STREET,MANHATTAN,NY"
488,"220 WEST 111 STREET,MANHATTAN,NY"
489,"2082 FREDRICK DOUGLASS BL,MANHATTAN,NY"
490,"2082 FREDERICK DOUGLASS B,MANHATTAN,NY"
491,"245 WEST 115 STREET,MANHATTAN,NY"
492,"131 WEST 122 STREET,MANHATTAN,NY"
493,"131 WEST 122 STREET,MANHATTAN,NY"
494,"131 WEST 122 STREET,MANHATTAN,NY"
495,"131 WEST 122 STREET,MANHATTAN,NY"
496,"131 WEST 122 STREET,MANHATTAN,NY"
497,"131 WEST 122 STREET,MANHATTAN,NY"
498,"131 WEST 122 STREET,MANHATTAN,NY"
499,"155 WEST 126 STREET,MANHATTAN,NY"
500,"139 WEST 126 STREET,MANHATTAN,NY"
501,"139 WEST 126 STREET,MANHATTAN,NY"
502,"252 WEST 123 STREET,MANHATTAN,NY"
503,"2554 FREDRICK DOUGLASS BL,MANHATTAN,NY"
504,"370 WEST 118 STREET,MANHATTAN,NY"
505,"370 WEST 118 STREET,MANHATTAN,NY"
506,"370 WEST 118 ST,MANHATTAN,NY"
507,"371 WEST 117 STREET,MANHATTAN,NY"
508,"2551 FREDERICK DOUGLASS B,MANHATTAN,NY"
509,"2549 FREDERICK DOUGLASS B,MANHATTAN,NY"
510,"1400 5 AVENUE,MANHATTAN,NY"
511,"1400 5 AVENUE,MANHATTAN,NY"
512,"1400 5 AVENUE,MANHATTAN,NY"
513,"1400 5 AVENUE,MANHATTAN,NY"
514,"1400 5 AVENUE,MANHATTAN,NY"
515,"1400 5 AVENUE,MANHATTAN,NY"
516,"23 WEST 116 STREET,MANHATTAN,NY"
517,"23 WEST 116 STREET,MANHATTAN,NY"
518,"50 WEST 127 STREET,MANHATTAN,NY"
519,"50 WEST 127 STREET,MANHATTAN,NY"
520,"2056 FIFTH AVENUE,MANHATTAN,NY"
