SALE PRICE,address,latitude,longitude,neighborhood,burough,zip code,GROSS SQUARE FEET,land sq feet
330000,"796B MAGENTA STREET,BRONX,NY",40.87459783,-73.86292533,BRONXDALE,BRONX,10467,928,1615
625000,"3400 BRONXWOOD AVENUE,BRONX,NY",40.874584999999996,-73.8607123,BRONXDALE,BRONX,10469,1560,4385
385000,"3312 BARKER AVENUE,BRONX,NY",40.873669299999996,-73.86878990000001,BRONXDALE,BRONX,10467,1094,6292
483000,"3211 MICKLE AVENUE,BRONX,NY",40.8736514,-73.84376632,BAYCHESTER,BRONX,10469,1056,2850
399000,"3318 HONE AVENUE,BRONX,NY",40.873443200000004,-73.857262,BRONXDALE,BRONX,10469,837,2500
360000,"3057 EDSON AVENUE,BRONX,NY",40.8733941,-73.8358309,BAYCHESTER,BRONX,10469,1116,1723
350000,"3316 BARNES AVENUE,BRONX,NY",40.87338805,-73.8626789,BRONXDALE,BRONX,10467,928,2032
523000,"3216 CORSA AVENUE,BRONX,NY",40.87327235,-73.84519505,BAYCHESTER,BRONX,10469,1260,1800
550000,"3305 LURTING AVENUE,BRONX,NY",40.87325205,-73.85674925,BRONXDALE,BRONX,10469,1672,1425
712775,"3304 WALLACE AVENUE,BRONX,NY",40.87295096,-73.86410441,BRONXDALE,BRONX,10467,2178,3438
609500,"3234 N CHESTNUT DRIVE,BRONX,NY",40.87253155,-73.86339767,BRONXDALE,BRONX,10467,1606,4000
630000,"3202 FISH AVENUE,BRONX,NY",40.8721656,-73.8477075,BAYCHESTER,BRONX,10469,1631,5000
6900000,"256 SEAMAN AVENUE,MANHATTAN,NY",40.8721357,-73.91812983,INWOOD,MANHATTAN,10034,19020,7000
17700000,"254 SEAMAN AVENUE,MANHATTAN,NY",40.8720125,-73.91830503,INWOOD,MANHATTAN,10034,54261,13625
380000,"3223 TENBROECK AVENUE,BRONX,NY",40.871820899999996,-73.85289809999999,BRONXDALE,BRONX,10469,1224,2500
437000,"3008 ELY AVENUE,BRONX,NY",40.8717908,-73.8365483,BAYCHESTER,BRONX,10469,1260,2651
2460000,"700-708 BURKE AVENUE,BRONX,NY",40.871357,-73.86699899999999,BRONXDALE,BRONX,10467,5000,5000
625000,"2779 WEBB AVENUE,BRONX,NY",40.871253700000004,-73.90152085,KINGSBRIDGE/JEROME PARK,BRONX,10468,2030,6000
466000,"3058 MICKLE AVENUE,BRONX,NY",40.87123455,-73.84184598,BAYCHESTER,BRONX,10469,1520,2375
615000,"3115 FENTON AVE,BRONX,NY",40.8712078,-73.84559533,BAYCHESTER,BRONX,10469,2040,2500
599000,"1809 ADEE AVENUE,BRONX,NY",40.8711529,-73.83787231,BAYCHESTER,BRONX,10469,1584,2477
995000,"2861 CRESTON AVENUE,BRONX,NY",40.87109795,-73.89167963,BEDFORD PARK/NORWOOD,BRONX,10468,2929,4156
439000,"3002 WICKHAM,BRONX,NY",40.8710903,-73.83814790000001,BAYCHESTER,BRONX,10469,1384,1120
420000,"2941 GUNTHER AVENUE,BRONX,NY",40.86983325,-73.83898327,BAYCHESTER,BRONX,10469,1380,3555
378000,"1511 ADEE AVENUE,BRONX,NY",40.869768900000004,-73.84221032,BAYCHESTER,BRONX,10469,1224,2502
465557,"1007 ADEE AVENUE,BRONX,NY",40.86972355,-73.85820413,BRONXDALE,BRONX,10469,870,2500
357000,"2960 MICKLE AVENUE,BRONX,NY",40.8696575,-73.8413309,BAYCHESTER,BRONX,10469,1178,2401
784000,"1831 ARNOW AVENUE,BRONX,NY",40.8696422,-73.83635262,BAYCHESTER,BRONX,10469,870,3788
410000,"2720 CLAFLIN AVENUE,BRONX,NY",40.86957905,-73.90071786,KINGSBRIDGE/JEROME PARK,BRONX,10468,800,4982
470000,"2864 BRIGGS AVENUE,BRONX,NY",40.86937745,-73.88827849,BEDFORD PARK/NORWOOD,BRONX,10458,1040,1650
385000,"1260 ADEE AVE,BRONX,NY",40.8691944,-73.85036055,BRONXDALE,BRONX,10469,1080,2025
417000,"2880 BRUNER AVENUE,BRONX,NY",40.869133500000004,-73.83624941,BAYCHESTER,BRONX,10469,1320,2205
690000,"2935 BARNES AVENUE,BRONX,NY",40.86903579999999,-73.86361733,BRONXDALE,BRONX,10467,1992,3713
605000,"2951 FENTON AVENUE,BRONX,NY",40.86895785,-73.8444551,BRONXDALE,BRONX,10469,1892,3325
12900000,"100 COOPER STREET,MANHATTAN,NY",40.86886965,-73.92125759999999,INWOOD,MANHATTAN,10034,30896,7500
345000,"2590 HEATH AVENUE,BRONX,NY",40.8687796,-73.90686401,KINGSBRIDGE HTS/UNIV HTS,BRONX,10463,800,4606
399000,"2936 BOUCK AVENUE,BRONX,NY",40.86862755,-73.84972512,BRONXDALE,BRONX,10469,1120,1600
19200000,"139 PAYSON AVENUE,MANHATTAN,NY",40.8685792,-73.92482517,INWOOD,MANHATTAN,10034,61584,14375
459820,"2917 HOLLAND AVENUE,BRONX,NY",40.86849985,-73.8655349,BRONXDALE,BRONX,10467,1496,2458
360000,"2919 HONE AVENUE,BRONX,NY",40.8684133,-73.85785765,BRONXDALE,BRONX,10469,997,4777
110000000,"100 WEST KINGSBRIDGE RD,BRONX,NY",40.8683809,-73.9021605,KINGSBRIDGE HTS/UNIV HTS,BRONX,10468,235297,51944
570000,"1809 BARTOW AVE,BRONX,NY",40.867625,-73.83608409,BAYCHESTER,BRONX,10469,1294,5004
465000,"2752 YATES AVENUE,BRONX,NY",40.867036999999996,-73.85447488,BRONXDALE,BRONX,10469,1488,5000
440000,"2752 HONE AVENUE,BRONX,NY",40.86703265,-73.85745005,BRONXDALE,BRONX,10469,1219,2500
350000,"2754 WOODHULL AVENUE,BRONX,NY",40.86677455,-73.8414015,BRONXDALE,BRONX,10469,900,2604
