,sale price,address,latitude,longitude,neighborhood,burough,zip code,gross sq feet,land sq feet
688,5875000,"505 WEST 19TH STREET, CHELSEA, MANHATTAN, NEW YORK, NY, 10011",40.7456184,-74.0063144884519,CHELSEA,MANHATTAN,10011, -  , -  
691,360000,"1306 SCHENECTADY AVENUE, FLATBUSH-EAST, BROOKLYN, NEW YORK, NY, 11203",40.6407783,-73.9324483020728,FLATBUSH-EAST,BROOKLYN,11203,1152,2400
692,2139900,"431 SENATOR STREET, BAY RIDGE, BROOKLYN, NEW YORK, NY, 11220",40.6357656,-74.0216868828443,BAY RIDGE,BROOKLYN,11220,3672,4350
693,620000,"103-17 52ND AVENUE, CORONA, QUEENS, NEW YORK, NY, 11368",40.74213695,-73.857662,CORONA,QUEENS,11368,1408,2500
695,510000,"2413 LORILLARD PLACE, BELMONT, BRONX, NEW YORK, NY, 10458",40.85688995,-73.88908835,BELMONT,BRONX,10458,2156,2250
697,910000,"553 55TH STREET, SUNSET PARK, BROOKLYN, NEW YORK, NY, 11220",40.6416036,-74.0116983336416,SUNSET PARK,BROOKLYN,11220,2076,1770
698,1100000,"59-73 FRESH POND ROAD, MASPETH, QUEENS, NEW YORK, NY, 11378",40.7176854,-73.9017769,MASPETH,QUEENS,11378,2635,1858
699,650000,"255 EASTERN PARKWAY, CROWN HEIGHTS, BROOKLYN, NEW YORK, NY, 11238",40.6695714,-73.9449552,CROWN HEIGHTS,BROOKLYN,11238,0,0
704,456300,"1980 STARR STREET, RIDGEWOOD, QUEENS, NEW YORK, NY, 11385",40.707182,-73.921056,RIDGEWOOD,QUEENS,11385, -  , -  
706,541000,"138 BEDFORD AVENUE, WILLIAMSBURG-NORTH, BROOKLYN, NEW YORK, NY, 11249",40.713269,-73.962081,WILLIAMSBURG-NORTH,BROOKLYN,11249,2400,1600
707,1090000,"472 GATES AVENUE, BEDFORD STUYVESANT, BROOKLYN, NEW YORK, NY, 11216",40.68644755,-73.9471028762829,BEDFORD STUYVESANT,BROOKLYN,11216,3300,1600
709,620000,"56 HEMPSTEAD AVENUE, MIDLAND BEACH, STATEN ISLAND, NEW YORK, NY, 10306",40.5722898888889,-74.0916081111111,MIDLAND BEACH,STATEN ISLAND,10306,2470,3812
710,285000,"41 ST AUSTINS PLACE, WEST NEW BRIGHTON, STATEN ISLAND, NEW YORK, NY, 10310",40.63587335,-74.1076441961847,WEST NEW BRIGHTON,STATEN ISLAND,10310,1700,6100
711,810073,"25-46 MCINTOSH ST, EAST ELMHURST, QUEENS, NEW YORK, NY, 11369",40.76357925,-73.8690554,EAST ELMHURST,QUEENS,11369,1736,1480
713,3276673,"337 CARROLL STREET, GOWANUS, BROOKLYN, NEW YORK, NY, 11231",40.6783084,-73.9894551,GOWANUS,BROOKLYN,11231,0,0
716,650000,"1915 ALBANY AVENUE, FLATBUSH-EAST, BROOKLYN, NEW YORK, NY, 11210",40.641603,-73.938012,FLATBUSH-EAST,BROOKLYN,11210,1520,2000
719,850000,"635 WEST 42ND   STREET, CLINTON, MANHATTAN, NEW YORK, NY, 10036",40.7613106122449,-73.9992501428572,CLINTON,MANHATTAN,10036, -  , -  
722,1269000,"21-17 19TH   STREET, ASTORIA, QUEENS, NEW YORK, NY, 11105",40.78254315,-73.916070964944,ASTORIA,QUEENS,11105,2600,2393
724,495000,"188-40 114TH DRIVE, ST. ALBANS, QUEENS, NEW YORK, NY, 11412",40.696875,-73.76504805,ST. ALBANS,QUEENS,11412,1692,4000
726,480000,"100-49 200TH   STREET, HOLLIS, QUEENS, NEW YORK, NY, 11423",40.70930905,-73.7586608,HOLLIS,QUEENS,11423,2523,2500
727,1900000,"43 EAST 25TH STREET, FLATIRON, MANHATTAN, NEW YORK, NY, 10010",40.741918,-73.9862864285714,FLATIRON,MANHATTAN,10010, -  , -  
729,320000,"109-14 153RD   STREET, SOUTH JAMAICA, QUEENS, NEW YORK, NY, 11433",40.6951014,-73.7999838,SOUTH JAMAICA,QUEENS,11433,1220,2275
